Period;Time_sec;Home_0_Metabolic_power;Home_1_Metabolic_power;Home_2_Metabolic_power;Home_3_Metabolic_power;Home_4_Metabolic_power;Home_5_Metabolic_power;Home_6_Metabolic_power;Home_7_Metabolic_power;Home_8_Metabolic_power;Home_9_Metabolic_power;Home_10_Metabolic_power;Home_11_Metabolic_power;Home_12_Metabolic_power;Home_13_Metabolic_power;Home_14_Metabolic_power;Home_15_Metabolic_power;Home_16_Metabolic_power;time;official_clock
2.0;4676.0;15927.940643554526;50347.29713633348;51914.573135221304;55008.412134033606;51931.410203361345;47257.024361320335;36419.18658470953;33077.407397050876;47711.91031007348;44160.357330561514;51919.870864362034;;;;;;;78;78
2.0;4677.0;15903.449647941055;50441.3854723969;51959.70520073426;55108.60862883616;52145.787236830394;47347.06808512073;36906.95358580182;33249.28670068321;47785.89597765836;44331.33038461259;52007.013066706044;;;;;;;78;78
2.0;4678.0;15904.797595568514;50500.73519902261;51914.89001344973;55168.21430026917;52296.95115627717;47403.58309953594;37248.27578560825;33365.494298600286;47825.521161984594;44520.32208753017;52154.257632709734;;;;;;;78;78
2.0;4679.0;15957.386502029256;50538.40598424242;51821.94049936166;55355.1122979011;52487.6906808047;47406.01108511116;37378.23891978432;33369.54614386099;47852.20438238816;44613.391503283645;52232.61716364661;;;;;;;78;78
2.0;4680.0;16023.06876539521;50580.70911608148;51758.13958431993;56219.85257925346;53313.723649439475;47498.2936439401;37466.486150795754;33374.27342570811;47914.02262963021;44783.579573277784;52448.87025669369;;;;;;;78;78
2.0;4681.0;16092.789477898426;50713.38437250735;52007.759887475084;57080.39949252015;54081.919954338875;47783.6001797955;37549.8616800918;33444.86542208781;48072.818103247155;45090.918789211966;52695.354293560165;;;;;;;79;79
2.0;4682.0;16178.165130477568;51070.937660316835;52453.915969044945;57591.27566579507;54883.4815565927;48273.24323038371;37725.084431358766;33491.36066979822;48441.568264739086;45522.28283705681;52971.96849553366;;;;;;;79;79
2.0;4683.0;16290.468246465725;51666.45820179814;52742.615539769016;57891.22498883794;55575.55841565933;48951.92238265951;38090.70091302718;33610.8761746325;48877.735508463644;45950.51045956173;53345.000461648015;;;;;;;79;79
2.0;4684.0;16395.59627639896;52236.59225161712;52966.34110680609;58373.70209021816;56037.36758225726;49383.3882577045;38487.96661670424;33945.46551522079;49361.92825638251;46409.971268525755;53880.40663797907;;;;;;;79;79
2.0;4685.0;16509.312692970012;52662.191259114436;53128.54289622438;58633.922545080015;56436.34519528118;49585.53836915698;38750.90786703748;34340.86704123441;49769.73117157543;46711.63424375332;54285.53505762288;;;;;;;79;79
2.0;4686.0;16620.27259573152;52972.95313522891;53289.35689882778;58933.61577888363;56670.636187448676;49756.434864289935;38940.968193759465;34622.92943765994;50005.28258758917;46966.38966826888;54629.56361793363;;;;;;;79;79
2.0;4687.0;16729.080380809413;53307.05845813193;53458.201633754215;59378.351097017585;56867.74744221188;50013.06378450056;39079.06616211148;34859.29941792983;50302.94827586456;47110.555576449704;55017.81001012429;;;;;;;79;79
2.0;4688.0;16822.16486492706;53681.1608872368;53490.68241911394;59572.32942939101;56993.79697379078;50340.69456586873;39179.86339608434;35035.41920431499;50632.95624327985;47125.26937886357;55441.05544997231;;;;;;;79;79
2.0;4689.0;16895.172541854132;54007.745943614624;53396.423784469356;59727.64976125865;56898.140215807354;50623.807998423865;39231.38926025446;35137.79749082384;50606.85457192452;47208.09584454895;55787.355812599526;;;;;;;79;79
2.0;4690.0;16921.900030382283;54225.13641156069;53019.207600322225;59767.930339250874;56089.684840249734;50774.46472841109;39037.45186223329;35122.947839227294;50592.26869960305;47318.87103647909;55991.47395924642;;;;;;;79;79
2.0;4691.0;16940.260433162046;54370.255119160545;52909.38047314947;59815.82451658451;55468.786498974056;50817.07453972004;38193.31410517376;34536.224352998375;50451.88709506151;47577.94035986985;56019.57984090925;;;;;;;79;79
2.0;4692.0;16955.96884064599;54413.28100032399;52821.76048124313;59942.42785094296;54825.376581521974;50795.61757186407;37397.6341956327;33579.91217602028;50025.0109000821;47867.43724213121;55969.107166446316;;;;;;;79;79
2.0;4693.0;16985.466066815046;54452.54597635161;52711.64431124818;59942.29139913917;54575.275827457954;50725.0752873089;37207.87130387494;33323.22579412012;49538.411677703734;47800.88705963775;55640.557787487014;;;;;;;79;79
2.0;4694.0;17032.37257337148;54484.423310203616;52575.10844365002;59824.82719940612;54539.59739370628;50445.634200558634;37076.3825892166;33220.242182077796;49354.80864846476;47755.89809011431;55243.764561405675;;;;;;;79;79
2.0;4695.0;17072.70723930592;54588.98860070892;52346.28323929581;60098.290875801154;54607.558295505696;50327.80835238389;36856.341747643724;33156.74775876743;49251.1546767611;47489.096318621065;55095.21773672398;;;;;;;79;79
2.0;4696.0;17088.069008935687;54705.72988817733;51644.40427094135;60485.6404648271;54647.20842649056;50252.187792345154;36674.84923914245;33074.6702032131;49173.52454082219;46995.069737243146;54934.184383481086;;;;;;;79;79
2.0;4697.0;17100.35141786438;54826.20372046085;51416.3863204747;60682.165000427405;54895.487563846706;50303.25059484069;36472.75001323617;32998.11535199651;49096.85033510193;46769.379765226004;54751.244568027025;;;;;;;79;79
2.0;4698.0;17176.08620196524;54924.59653799152;51287.10896338282;60739.39912235124;55219.635821631935;50348.91726709125;36314.49951447197;33001.35717604692;49045.33954087858;46715.73741850653;54594.20625244815;;;;;;;79;79
2.0;4699.0;17263.66428890106;54958.03246403785;50984.18765648427;60718.13544589839;55524.07500784558;50397.05757896549;36140.1755738851;32446.231592015425;48976.0608998407;46716.16656448011;53974.786248624616;;;;;;;79;79
2.0;4700.0;17344.47565391153;55004.62267683217;50717.20536782267;60440.80638867653;55540.98550127586;50366.62000616705;35848.28059256727;31930.37794913835;48873.97346612641;46644.56902268042;53909.7001625497;;;;;;;79;79
