Period;Time_sec;Away_0_Metabolic_power;Away_1_Metabolic_power;Away_2_Metabolic_power;Away_3_Metabolic_power;Away_4_Metabolic_power;Away_5_Metabolic_power;Away_6_Metabolic_power;Away_7_Metabolic_power;Away_8_Metabolic_power;Away_9_Metabolic_power;Away_10_Metabolic_power;Away_11_Metabolic_power;Away_12_Metabolic_power;Away_13_Metabolic_power;Away_14_Metabolic_power;Away_15_Metabolic_power;Away_16_Metabolic_power;Away_17_Metabolic_power;Away_18_Metabolic_power;Away_19_Metabolic_power;time;official_clock
2.0;5372.0;30230.08136586778;19494.323418571053;;21965.570877408187;51073.8634426767;;56483.86209941315;37813.53377114304;;49072.4434349809;51390.34256299596;67146.66126158783;;;;62084.9809621285;54560.3286910545;;41072.78235228458;35447.03556039411;90;90
2.0;5373.0;30269.53856684934;19428.689295649652;;21841.648634933405;51209.0280363053;;56757.49356378496;38195.33131583232;;49557.0251959134;51421.11536372783;67139.81238373363;;;;62118.52106539901;54424.624299733994;;41274.448522546336;36118.27352668009;90;90
2.0;5374.0;30302.97947061119;19298.887939233755;;21758.959829865777;51506.93644711279;;56849.13805412003;38377.33481006195;;49894.8107924205;51778.48432997833;67611.28092569546;;;;62229.440204820305;54501.866970756855;;42140.48085320801;36802.34284728858;90;90
2.0;5375.0;30336.418764559086;19173.630758526513;;21691.415276079308;51912.64594997586;;56970.53031079442;38547.78417947108;;49977.1622730608;52575.695044007145;68161.63589659867;;;;62464.792666821464;54851.88743008461;;43100.03790836862;37050.04201073843;90;90
2.0;5376.0;30310.28109652988;19017.786695925206;;21660.948549729957;52244.18636890171;;57087.56407273919;38613.30659626735;;49920.070325763205;53130.95222291334;68254.91871405128;;;;62736.84442084902;55051.907930487214;;43660.42246182655;37205.38497677988;90;90
2.0;5377.0;30541.72153432612;18722.873315795277;;21616.385648949654;52472.097701612816;;57132.43153304393;38688.477189398116;;50076.73881040057;53125.845162895945;68231.94580808636;;;;62755.08806783936;55275.38277294295;;43925.449278014225;37383.3705443529;90;90
2.0;5378.0;30921.507471797275;18486.389290067138;;21510.560721454982;52785.788562507965;;56885.156414712284;38734.188839820075;;50091.2409960225;52730.784605238725;68292.37887600728;;;;62879.225598199235;55147.89321983306;;44412.339307634764;37745.994477734675;90;90
2.0;5379.0;31261.084517285377;18376.751407280986;;21414.408024203312;52827.23248053406;;56737.37282974001;38804.88561142415;;49931.63641065293;52474.066169153964;68359.48968051968;;;;62896.76726346369;55071.48700668462;;45019.969719919085;38232.72473978739;90;90
2.0;5380.0;31493.384114107095;18307.21771881813;;21319.800554700563;52817.68437442412;;57076.93352851858;38901.71588666405;;49885.56493229542;52468.490803391105;68642.12629172414;;;;63256.40400933087;55261.55133176109;;45469.153396526985;38473.1076550688;90;90
2.0;5381.0;31938.530487759508;18253.03677865128;;21265.02107709842;52763.93832480734;;57454.16082712392;38951.162594575115;;49810.97961450694;52487.25362346015;69211.78617119354;;;;63152.62555594636;55120.654988799964;;45785.94456609907;38922.421255994566;90;90
2.0;5382.0;32450.301729651706;18197.545074999194;;21213.18031296298;52685.48945819802;;57878.78359829279;39001.75885880084;;49706.20800685393;52477.91617709381;69638.7198964429;;;;62862.3723068801;55223.051323515;;46041.83297489696;39531.20714822289;90;90
2.0;5383.0;32648.599694520166;18153.456233802903;;21160.297169934056;52711.82064290366;;58209.834520184806;39043.03589627753;;49648.74112218799;52544.58955004244;69980.26667518151;;;;62827.02173368602;55396.438458999415;;46222.03739531722;39986.258112455595;90;90
2.0;5384.0;32685.16057422726;18089.551633237807;;21094.551151220527;52753.62336982527;;58371.22068355328;39031.69591034559;;49581.505814627555;52571.76005709976;70347.34774974518;;;;62385.7586955987;54997.66581946509;;46342.01630913597;40526.573857886535;90;90
2.0;5385.0;32690.392958144326;17971.459502679914;;21043.734868721775;52880.72034962868;;58357.59181103585;39033.72379304313;;49560.57667521031;52469.5147034141;70585.55433997398;;;;62001.40998267609;54471.04103453379;;46483.153954081696;40887.066380311706;90;90
2.0;5386.0;32650.09626390116;17859.353381989742;;20971.772646967278;52927.479130568485;;58507.00054548877;39113.04741222368;;49511.671739469835;52452.907395939306;70578.72331706976;;;;61534.13389270736;54195.18502057942;;46584.81197509375;41166.75302715426;90;90
2.0;5387.0;32685.21274271669;17731.10166767186;;20795.623741530966;52995.72302278841;;58648.30849755479;39192.58822038457;;49735.935141578615;52010.39224137026;70470.19139094658;;;;61292.94459401683;53910.82672192654;;46689.56832336289;41347.584725627756;90;90
2.0;5388.0;32729.59035079613;17602.87845102546;;20463.77560615509;52984.35537550674;;58676.58227246654;39118.059216671005;;49438.09729997385;51269.95498728394;69878.68777267264;;;;61275.56352188731;53810.81654589003;;46778.3154509494;41443.43798365051;90;90
2.0;5389.0;32651.6239744263;17417.860165678434;;20170.60989287435;52850.22685965316;;58419.521544121584;38962.17872758598;;49260.03472693237;51029.145238308345;68683.72572510662;;;;61121.25157786368;53790.21557974127;;46838.010289768165;41622.22021017919;90;90
2.0;5390.0;32673.7285339224;17186.471017871707;;19966.593106744695;52656.01146743499;;58261.65701020342;38982.02136526268;;49291.176994646994;51063.95998975508;68390.36539295508;;;;61012.68663778744;53789.06049250616;;46898.745270118176;42162.59653866514;90;90
2.0;5391.0;32704.069015290042;17037.0163228186;;19825.68312005451;52687.47376504751;;58293.238875165356;38991.02949412495;;49312.876248562876;50862.840299371295;68297.43218925016;;;;61066.72030371936;53866.36241404748;;47049.93681824955;42556.55415270917;90;90
2.0;5392.0;32609.702228234037;16965.906636407428;;19764.33742290817;52704.39464229566;;58431.22792505913;39845.72085397744;;49095.08197321848;50873.58110201126;68319.90559057926;;;;61112.416543968575;53921.83006667741;;47172.67603308705;42684.697974437404;90;90
2.0;5393.0;32575.381755285944;16852.96673232764;;19637.5620062112;52825.47014469672;;58493.27819487412;40406.48090514354;;48956.17167909272;50885.72267247047;68269.28007139031;;;;61094.89370725634;53952.45040971144;;47215.54773942533;42875.443482289746;90;90
2.0;5394.0;32518.375777941776;16652.729494678744;;19421.967419562152;52907.58508147114;;58563.58764363226;40504.02429167179;;48872.582208067244;50942.238361688855;67864.71712627453;;;;61393.88995014314;54057.52587810802;;47284.48563336658;43036.762753598116;90;90
2.0;5395.0;32295.950372119216;16483.427411477423;;19121.105047114994;52993.36633149109;;58537.86908519421;40457.32975523102;;49243.22189455316;51008.012196998054;67407.68235624042;;;;61676.05531013691;54278.265471218445;;47388.4390554338;43180.14258878072;90;90
2.0;5396.0;31988.272229307615;16301.104128090783;;18871.106894159304;53040.86731631606;;58542.21422373657;40419.804496699544;;49373.148115837226;51002.61177453638;67259.59852059;;;;61939.4506794955;54312.76880430882;;47479.286669243564;43357.16815899616;90;90
2.0;5397.0;31629.127409343375;16143.583492813546;;18621.423327645458;53011.73908576299;;58811.46389261261;40342.625058858;;49465.899583978004;51080.740164813295;67005.5512665347;;;;62069.91277865355;54246.659570235584;;47632.67230312078;43660.21730919362;90;90
2.0;5398.0;31353.77767915067;15974.045411530857;;18395.656062935686;53001.21006962693;;58843.03569425109;40255.293604087274;;49612.08825148273;51099.77592735206;66671.7712868604;;;;62440.475941945726;54165.36961826786;;47732.092173295954;43982.57016161875;90;90
2.0;5399.0;31431.12749451295;15813.592285211924;;18269.05711553323;52991.51854159627;;58573.71668158113;40147.802678021144;;49834.29356513544;51120.56719966738;66399.86666003846;;;;62716.36857800591;54047.128200396925;;47831.96088383489;44199.79763778208;90;90
2.0;5400.0;31501.18156841677;15646.879074601678;;18159.951950883176;52939.314530491785;;58205.36147991289;40045.1978578596;;50036.19617994465;51175.50032393003;66286.22354464929;;;;62976.08989502534;53996.02760924409;;47939.3499791062;44415.33548941524;90;90
2.0;5401.0;31368.257418543366;15502.800991646773;;18082.293606082698;53202.30548974007;;57982.287784829525;40138.79772278528;;50274.96227543953;51312.65760539167;66465.22446676678;;;;63340.45000797904;53900.71839501487;;48011.956887917724;44630.34939396561;91;90'+1
2.0;5402.0;31080.93295049333;15363.688409260772;;18004.580120509043;53612.12696784761;;57935.492646656494;40418.91255214286;;50411.02749555965;51755.75667695791;66636.99141676497;;;;63793.15572537817;53791.152805054415;;48169.62231491108;44776.807469258776;91;90'+1
2.0;5403.0;30892.650641072858;15252.28720219073;;17922.12564868944;53657.47412148531;;57865.83840038381;40381.01848717269;;50406.04358824359;51819.43470102824;66968.6417078649;;;;63933.37693560752;53740.49751037551;;48287.49174766604;44930.065624777395;91;90'+1
2.0;5404.0;30772.097586330743;15157.302103804148;;17855.541871247246;54138.95374250422;;57838.12196213371;40343.426565210895;;50389.41086529981;51831.17982588073;67594.6854526435;;;;63933.388895315584;53935.868377267485;;48794.46452103046;45051.994784088434;91;90'+1
2.0;5405.0;30793.535636900906;15095.156335220823;;17813.698864178292;54956.75898952096;;58112.35406062388;40576.30395419279;;50618.91945035663;51999.21228032658;68527.3994250955;;;;63953.78736147753;54773.934487292245;;49922.88247770963;45444.548798582946;91;90'+1
2.0;5406.0;30922.673085184724;15058.972892532314;;17755.72242035023;55512.8090497366;;58574.94902419401;40956.17394368038;;50919.440708193964;52356.714100050296;69075.89779136091;;;;64157.03722392937;55185.079362051365;;50542.58109815488;45927.38450747159;91;90'+1
2.0;5407.0;30986.087900608833;15046.477464169067;;17710.349362555444;56112.21640539642;;59230.31505028986;41297.858760199844;;51202.60341713437;52629.68499217393;69451.7375894686;;;;64485.44769016005;55391.72236131422;;50900.02532217857;46323.00574587622;91;90'+1
2.0;5408.0;31008.772451870605;15045.194272595547;;17672.535476396995;57088.32399538855;;59817.585973681475;41723.47590310515;;51539.13005045102;53157.81584135233;69717.436114076;;;;65013.46834779271;55523.25259304927;;51687.911309290714;46965.51637680792;91;90'+1
2.0;5409.0;30949.361715171024;15028.295338069729;;17643.119894782045;57558.18065371445;;60510.16276028389;42063.50051270905;;51916.373144559686;53810.143915279026;69992.41021812106;;;;65427.524024528495;55767.52558183077;;52595.05465234052;47652.51608209973;91;90'+1
2.0;5410.0;30965.289824061427;14897.331468149747;;17597.160817675493;57791.505948523845;;61001.99684911422;42117.14994302032;;52181.69687564957;54227.39779698652;70339.81947257245;;;;65693.07547378115;55993.383634703074;;53301.143625955556;48332.827945767094;91;90'+1
2.0;5411.0;30982.78063282633;14667.513002764494;;17228.796223231348;57912.18313581533;;61282.429561494915;42006.216425809216;;52133.939941581084;54497.237960757775;70658.85657632168;;;;65779.38529327167;56144.805407585416;;54556.24908056913;48738.1224418252;91;90'+1
2.0;5412.0;31082.902582438302;14329.063153919122;;16962.130779773706;58187.794938081075;;61479.25963419589;41743.36413062736;;52102.75582282748;54668.23730057301;70785.70777094143;;;;66002.83091759747;56107.23219773137;;55670.01341392743;48971.3476365901;91;90'+1
2.0;5413.0;31184.595769971987;14144.068785926887;;16701.07049900776;58415.44133802752;;61592.02786092341;41726.899692478626;;51860.4683502553;54644.3272157374;70820.37023975229;;;;66132.57378158714;55877.64757288672;;56334.79438348485;49134.28804400883;91;90'+1
2.0;5414.0;31283.36104761307;14025.911795123744;;16278.503098714857;58560.832439258484;;61439.738061932905;41627.94094703229;;51663.542519031536;54459.57260424873;70880.93411951786;;;;66136.50698196402;55429.8758080809;;56819.922991307125;49248.485025172486;91;90'+1
2.0;5415.0;31365.093777877755;13737.484035883808;;15965.321284970072;58624.56669019433;;61355.85513020057;41436.82846009261;;51526.99384838187;54229.10241161027;70866.35900140036;;;;66038.29777650401;55507.77573200647;;57189.59114269576;49366.098088146246;91;90'+1
2.0;5416.0;31379.942050863512;13203.003359297978;;15722.037151200491;58304.86661330494;;61550.106214680585;41215.82414646061;;51450.33591118291;54024.56184743427;70806.19018321257;;;;65884.88002263497;55179.60623544538;;57325.259482195834;49475.603792192545;91;90'+1
2.0;5417.0;31282.998619211237;12956.630205066162;;15565.391145569829;57538.82973365402;;61738.62310947347;41008.54252834999;;51454.688473036615;54009.139038037334;70760.99739501157;;;;65473.86382334573;55081.131066762915;;57482.543386901874;49605.15343442133;91;90'+1
2.0;5418.0;31195.109607615086;12711.955525966743;;15425.76385188713;57329.869861414765;;61836.80288452243;40878.48686230261;;51451.87102853497;54016.01690444839;70031.05226874464;;;;64820.76669215144;55029.44624699997;;57698.9197513761;49719.24954627808;91;90'+1
2.0;5419.0;31223.72745552481;12593.592313600264;;15136.979432449043;57301.61389398166;;61824.49921155762;40804.58385159165;;51340.47017322038;53981.97420985292;69424.42054031449;;;;64404.21310385563;55012.561217054164;;57845.37495771962;49811.996507689124;91;90'+1
2.0;5420.0;31287.109415345105;12398.44907399968;;14959.556973714924;57085.626462024025;;61717.13628989472;40759.95494038633;;51379.91537974781;53989.569791683905;69265.0261246407;;;;64269.12625367159;55024.94806718139;;58018.92355280722;49913.734970716134;91;90'+1
2.0;5421.0;31295.95124288213;12232.938642553436;;14860.905578391363;56879.61578648757;;61250.74632705259;40737.07207626316;;51481.73187864509;53983.66726237232;69068.1142615138;;;;64176.13708800264;54844.664744924514;;58177.257481964996;50012.95168419371;91;90'+1
2.0;5422.0;31289.030106053156;11981.229753606742;;14502.607992419293;56870.03720040312;;61230.88489467172;40727.19831005799;;51550.42597337951;53988.37683714196;68947.48934625986;;;;64036.83203871748;54344.493941531524;;58293.423784860264;50127.56330387362;91;90'+1
2.0;5423.0;31259.029796409868;11769.694279121217;;14137.162411847301;57331.26808871665;;61320.98564564756;40723.86277927798;;51526.23769484636;53984.62291292044;68529.64397376003;;;;63431.35378356292;53634.36614336646;;58374.02279183236;50232.773278694694;91;90'+1
